year,gender,age,population
2021,Male,0,86287
2021,Male,1,87259
2021,Male,2,87205
2021,Male,3,88536
2021,Male,4,90229
2021,Male,5,90004
2021,Male,6,92022
2021,Male,7,90893
2021,Male,8,93185
2021,Male,9,95253
2021,Male,10,97407
2021,Male,11,98186
2021,Male,12,98553
2021,Male,13,96205
2021,Male,14,98395
2021,Male,15,99111
2021,Male,16,101957
2021,Male,17,105940
2021,Male,18,108487
2021,Male,19,112101
2021,Male,20,115335
2021,Male,21,113688
2021,Male,22,113200
2021,Male,23,110170
2021,Male,24,110918
2021,Male,25,110943
2021,Male,26,114839
2021,Male,27,115147
2021,Male,28,116762
2021,Male,29,117879
2021,Male,30,118809
2021,Male,31,114124
2021,Male,32,112998
2021,Male,33,112897
2021,Male,34,111599
2021,Male,35,109176
2021,Male,36,107506
2021,Male,37,103992
2021,Male,38,104243
2021,Male,39,105392
2021,Male,40,106966
2021,Male,41,103052
2021,Male,42,102743
2021,Male,43,101032
2021,Male,44,102241
2021,Male,45,102220
2021,Male,46,106682
2021,Male,47,110067
2021,Male,48,118771
2021,Male,49,125239
2021,Male,50,130463
2021,Male,51,133531
2021,Male,52,127603
2021,Male,53,126482
2021,Male,54,126801
2021,Male,55,128770
2021,Male,56,130352
2021,Male,57,127812
2021,Male,58,124406
2021,Male,59,122632
2021,Male,60,118755
2021,Male,61,117035
2021,Male,62,113396
2021,Male,63,110016
2021,Male,64,107568
2021,Male,65,103447
2021,Male,66,101607
2021,Male,67,98952
2021,Male,68,98181
2021,Male,69,93961
2021,Male,70,92962
2021,Male,71,92722
2021,Male,72,94152
2021,Male,73,96517
2021,Male,74,97705
2021,Male,75,67247
2021,Male,76,68108
2021,Male,77,62623
2021,Male,78,55380
2021,Male,79,50297
2021,Male,80,48560
2021,Male,81,43442
2021,Male,82,39833
2021,Male,83,33923
2021,Male,84,30357
2021,Male,85,26509
2021,Male,86,22721
2021,Male,87,18867
2021,Male,88,16210
2021,Male,89,13000
2021,Male,90,10500
2021,Male,91,7853
2021,Male,92,5941
2021,Male,93,4409
2021,Male,94,3158
2021,Male,95,2160
2021,Male,96,1445
2021,Male,97,982
2021,Male,98,567
2021,Male,99,771
2021,Female,0,81983
2021,Female,1,83095
2021,Female,2,83269
2021,Female,3,84028
2021,Female,4,85735
2021,Female,5,85399
2021,Female,6,88118
2021,Female,7,86014
2021,Female,8,88600
2021,Female,9,90339
2021,Female,10,93230
2021,Female,11,93298
2021,Female,12,93451
2021,Female,13,92233
2021,Female,14,93320
2021,Female,15,94459
2021,Female,16,97437
2021,Female,17,100587
2021,Female,18,103684
2021,Female,19,107972
2021,Female,20,111718
2021,Female,21,109453
2021,Female,22,109145
2021,Female,23,107411
2021,Female,24,106448
2021,Female,25,107725
2021,Female,26,111081
2021,Female,27,111436
2021,Female,28,112675
2021,Female,29,114455
2021,Female,30,114564
2021,Female,31,111643
2021,Female,32,110132
2021,Female,33,109614
2021,Female,34,110109
2021,Female,35,107229
2021,Female,36,105305
2021,Female,37,102728
2021,Female,38,103031
2021,Female,39,105484
2021,Female,40,106584
2021,Female,41,103210
2021,Female,42,103357
2021,Female,43,102041
2021,Female,44,102262
2021,Female,45,103481
2021,Female,46,108140
2021,Female,47,111721
2021,Female,48,120696
2021,Female,49,125557
2021,Female,50,130622
2021,Female,51,132653
2021,Female,52,127179
2021,Female,53,125132
2021,Female,54,125665
2021,Female,55,126716
2021,Female,56,128951
2021,Female,57,126586
2021,Female,58,124421
2021,Female,59,122911
2021,Female,60,119163
2021,Female,61,117652
2021,Female,62,114008
2021,Female,63,111388
2021,Female,64,108680
2021,Female,65,106156
2021,Female,66,103418
2021,Female,67,101208
2021,Female,68,100730
2021,Female,69,96118
2021,Female,70,96286
2021,Female,71,96414
2021,Female,72,97974
2021,Female,73,102387
2021,Female,74,103917
2021,Female,75,73350
2021,Female,76,75245
2021,Female,77,69898
2021,Female,78,63226
2021,Female,79,58686
2021,Female,80,58488
2021,Female,81,54757
2021,Female,82,51143
2021,Female,83,45756
2021,Female,84,42864
2021,Female,85,39103
2021,Female,86,35681
2021,Female,87,31730
2021,Female,88,28981
2021,Female,89,25007
2021,Female,90,21706
2021,Female,91,17335
2021,Female,92,14394
2021,Female,93,11041
2021,Female,94,8711
2021,Female,95,6525
2021,Female,96,4904
2021,Female,97,3370
2021,Female,98,2355
2021,Female,99,3602
